llm_quality,llm_seniority,llm_engagement,llm_decision_maker,llm_industry,llm_geography,llm_business_type,llm_company_fit,industry,companyindustry,companysize,companytype,languages,location,companylocation,companyfoundedon,summary,skills,jobtitle,engaged
85,Senior,0.8,0.85,Technology - SaaS,international_hub,leaders,1,Information Technology & Services,Software Development,1001-5000,Public Company,"Arabic, English, French","Paris, Île-de-France, France","San Francisco, US",,Experienced Sales Engineer (18+ years) with a demonstrated history of working in the information technology and services. Strong Sales professsional focused on result-driven objectives.,"Vente aux dirigeants, Relations avec les dirigeants, Pre-sales",Lead Solutions Engineer,1
75,Mid,0.65,0.4,Technology - AI,international_hub,experts,2,Computer Software,Software Development,201-500,Privately Held,"Anglais, Espagnol, Français","Paris, Île-de-France, France","Paris, FR",2023.0,,"Droit commercial, Rédaction de contrats, Droit de l’informatique","Director, Commercial legal affairs",0
20,Entry,0.3,0.2,Unknown,international_hub,others,0,Information Technology & Services,,,,"Allemand, Anglais, Français","Paris, Île-de-France, France",,,,"Growth Hacking, Automatisation marketing, Sales automation",,0
80,Mid,0.55,0.5,Consulting - Business,international_hub,experts,1,Higher Education,Business Consulting and Services,51-200,Partnership,"Arabic, Chinese, English, French, Hebrew","Paris, Île-de-France, France","Paris, FR",2006.0,,"Research and Development (R&D), Large Language Models (LLM), Data Analysis",Chief Data & AI Officer,1
90,Senior,0.85,0.8,Technology - Database,international_hub,leaders,1,Information Technology & Services,Software Development,5001-10000,Public Company,"English, French","Paris, Île-de-France, France","New York, US",2007.0,"🚀 Technology & Business Leader | Digital Transformation | Cloud & IT Strategy | Enterprise Consulting

Passionate about leveraging technology to drive business success, I have over two decades of experience in cloud solutions, IT strategy, and enterprise consulting, I have consistently driven business transformation through technology innovation and strategic partnerships.

As Global Head, Cloud Partner Solutions Architecture at MongoDB, I have:
✔️ Led high-impact cloud adoption initiatives, empowering enterprises & partners to scale their data strategies.
✔️ Developed partner ecosystems, driving revenue growth & digital transformation for businesses worldwide.
✔️ Advised C-level executives on aligning cloud & data strategies with business objectives.

Beyond MongoDB, my expertise spans VP-level consulting & leadership roles, where I have:
✔️ Built & scaled consulting teams, driving multimillion-dollar digital transformation projects.
✔️ Led IT & cloud strategy initiatives that enhanced business efficiency & market competitiveness.
✔️ Fostered innovation in AI, big data, and cloud architecture to solve complex business challenges.

With a strong foundation in Generative AI & Big Data, I remain committed to leveraging cutting-edge technology to accelerate digital transformation for global enterprises.

🔹 Let’s connect! I’m passionate about building technology strategies that drive business success.","Strategic Partnerships & Partner Enablement, Digital Transformation Strategy, Revenue Growth & P&L Management",Global Head Cloud Partner Solutions Architect,0
65,Entry,0.4,0.25,Biotechnology,international_hub,experts,2,Computer Software,Biotechnology Research,11-50,Privately Held,"English, French, Italian, Spanish","Paris, Île-de-France, France","Planegg, DE",,"Buongiorno, bonjour, buenos días, and good morning!

Welcome to my LinkedIn profile. 𝐈'𝐦 𝐃𝐢𝐚𝐧𝐚 𝐏𝐢𝐞𝐦𝐚𝐫𝐢 𝐂𝐞𝐫𝐞𝐝𝐚, 𝐚 𝐩𝐚𝐬𝐬𝐢𝐨𝐧𝐚𝐭𝐞 𝐚𝐧𝐝 𝐜𝐨𝐦𝐦𝐢𝐭𝐭𝐞𝐝 𝐦𝐚𝐫𝐤𝐞𝐭𝐞𝐫 with a diverse background in entrepreneurship, consulting, and investment. I work with startups, corporates, and governments, making an impact through innovative initiatives.

Since 2012, I've been developing global marketing strategies, leading high-performing teams, building ecosystems and communities across various sectors.

At the heart of my work are trust and a commitment to learning every day. This mindset helps me build authentic relationships, foster collaboration, and continue growing both personally and professionally. 

And last, but not least, I am an AI optimist 🤗","Columnist, B2B Marketing, Strategic Communications",Head of Marketing,1
75,Entry,0.65,0.3,Law Practice,other,others,0,Law Practice,Law Practice,11-50,Self-Employed,"Allemand, Anglais, Chinois, Français",France,"Paris, FR",2022.0,"Keywords :
- Law : IT Law / Intellectual Property Law / Law and Economics / Data Protection / NFT
- Information Technology : Artificial Intelligence / Blockchain / Smartcontract / ICO-DAO / BIM / VR / XR / Metaverse / Quantum computing

Avocat, docteur en droit, Maître de conférences à l'Université Paris 8 (SIC), membre du laboratoire Paragraphe de l’Université Paris 8 et co-directeur de la Chaire UNESCO ITEN (Université Paris 8/FMSH) mon activité est orientée vers les enjeux juridiques, éthiques et sociétaux du numérique liés à la blockchain et à l’intelligence artificielle. 
------
Attorney at law, PhD in law, lecturer at the University Paris 8 (ITC) I am associate member of the Paragraphe laboratory at Paris 8 University and co-director of the UNESCO ITEN Chair (Paris 8 University / FMSH) and I am working on the ethical, legal and societal challenges of digital technology related to blockchain and artificial intelligence.","Dispute Resolution, Corporate Law, Commercial Litigation",Avocat Associé / Partner (IP/IT),0
80,Mid,0.7,0.7,Business Consulting and Services,international_hub,experts,1,Management Consulting,Business Consulting and Services,501-1000,Privately Held,,"Paris, Île-de-France, France","Paris, FR",2008.0,,"Travail d’équipe, Leadership d’équipe, Growth hacking",Consultant en Pricing,0
50,Entry,0.4,0.2,Business Consulting and Services,regional_hub,experts,0,Computer Software,,,,"English, French, Spanish","Nantes, Pays de la Loire, France",,,"🚀 Expert en Développement de Produits et Transformation IA – Une Approche Pragmatique 🚀

Avec 12 ans d’expérience en développement de produits, dont 8 spécialisées dans l’IA, le SaaS et la robotique, j’accompagne les entreprises dans l’intégration stratégique et pragmatique de l’intelligence artificielle. Mon expertise repose sur une approche orientée résultats, combinant innovation technologique et alignement avec les objectifs business.

🎯 Mon objectif : Aider les entreprises à maximiser l’impact de l’IA tout en rendant cette technologie accessible et opérationnelle pour leurs équipes dirigeantes.

🌟 Mes atouts clés :
Lancement réussi de produits innovants en IA et technologie avancée ;
Accélération des cycles de production des modèles d’IA pour une efficacité renforcée ;
Industrialisation de l’IA pour des déploiements à grande échelle ;
Amélioration de la satisfaction client et des taux de rétention grâce à des solutions centrées sur la valeur.

🔍 Ce que je propose :
Conseil stratégique : Identifier comment l’IA peut répondre à vos défis métiers et apporter de la valeur ;
Sensibilisation des équipes produit et du COMEX : Accompagner vos dirigeants dans la compréhension des enjeux et opportunités de l’IA ;
Déploiement pragmatique : Assurer une mise en œuvre réaliste et alignée avec vos priorités business ;
Gestion de projets IA : Structuration et accompagnement pour garantir des résultats concrets et durables.

💡 Pourquoi une approche pragmatique ?
Parce que l’IA est avant tout un outil au service de vos objectifs. Mon expérience m’a appris que les solutions les plus efficaces sont celles qui s’intègrent dans les réalités opérationnelles de l’entreprise, avec un retour sur investissement clair et mesurable.

📩 Ensemble, faisons de l’IA un levier stratégique pour votre croissance. Connectons-nous pour discuter de vos projets et identifier comment transformer vos idées en succès mesurables.","Intelligence artificielle (IA), Leadership d’équipe, Résolution de problèmes",Consulting - AI product expert,1
70,Mid,0.6,0.75,Software Development,international_hub,others,2,Computer Software,Software Development,,Public Company,"English, German","Paris, Île-de-France, France","Hangzhou, CN",,"'- Public Affairs & Strategic Communication specialist, at both French and European levels 
- Designing, coordinating, implementing lobbying strategies to engage & influence decision-makers (public targets but also business partners as well as media)
- Supervising PA/PR outreach campaigns based on a business-oriented approach (""facts & figures"")
-  Hybrid profile leveraging influence strategies as ""business enablers"" to generate sales & create market opportunities
- Able to manage field projects
- Deep knowledge of network industries, with extensive experience in the digital field
- Fluent in English
- Coached manager (Process Communication) 

Fields of expertise: Public Affairs, European Lobbying, Digital Economy, Network industries, Payment & Fintech, HR Solutions, Business development, Project management

Ex-rock band star / Beachvolley fan","Government Relations, Telecommunications, Mobile","Director, International Government Relations, France",1
