llm_quality,llm_seniority,llm_engagement,llm_decision_maker,llm_industry,llm_geography,llm_business_type,llm_company_fit,industry,companyindustry,companysize,companytype,languages,location,companylocation,companyfoundedon,summary,skills,jobtitle,engaged
85,Senior,0.85,0.75,Technology,other,experts,1.0,"Technology, Information and Media","Technology, Information and Media",5445,,"Italiano, Inglese, Spagnolo, Python",Italy,,,"I'm a product, operations and strategy advisor that brings pace and clarity to complex projects. In the last 5 years I mostly focused on web3 systems design, operations and ecosystem strategies. In the last 10 years have been an ecosystem and platform strategy advisor to Fortune 500s, SMBs, startups, networks, think-tanks, cultural NGOs, and to developmental organizations like the UNDP, both in the public and private sector, regarding matters of portfolio management or organizational change. I'm currently helping a few selected, successful and passionate brick and mortar businesses scaling across from being family-owned small scale to franchise with a global reach. I'm open to collaborations as a product and operations lead or strategist in exciting product or HR positions, with a strong bias for contexts that leverage exponential technologies, human potential, work with regenerative practices and/or address human existential threats. I'm strongly interested in projects and organizations trying to bridge real-world assets on-chain and enabling the agency of IRL communities. I'm used to work closely with cross-functional teams of top-tier software developers, designers, and domain experts to break silos across the organizations I work with. With powerful methodologies and scalable approaches to collaborative strategy making, I deliver value at the intersection of tech and business domains. I co-founded boundaryless.io and significantly contributed to creating, developing and disseminating the Platform Design Toolkit (PDT), the EEEO Toolkit (based on Haier’s Rendanheyi), and the set of training and consulting products around them. PDT is today one of the most comprehensive and widely adopted methodologies for the design, prototyping, launch, and scale of ecosystem strategies. Fully released in Creative Commons. In my university times, I studied biotechnology with a particular interest in neurophysiology. I then experimented in the field of life sciences with emerging and low-cost technologies (especially with open source microfluidics devices), working with public sector and academia addressing global issues and exploring novel forms of ethical deliberation.",,Founder,1
70,Senior,0.65,0.6,Legal Services,other,experts,2.0,,,undefined,,"English, Croatian, French",Croatia,,,"Attorney at law with over ten years of experience specialized in Intellectual Property (IP) and Information Communication Technology (ICT) with strong background in commercial and company law. Passionate to provide commercially oriented legal support to IT companies, ensuring compliance, managing legal risks, and supporting business growth. Thrive to provide services in dynamic, fast-paced environment where good spirit overcomes all challenges.",,Attorney At Law,1
50,Senior,0.5,0.3,Pharmaceuticals,international_hub,experts,1.0,Professional Services,Professional Services,6032,,,"Boston, Suffolk County, Massachusetts, United States",,,,,Gene Editing Research Scientist,0
55,Mid,0.6,0.25,Healthcare,regional_hub,experts,1.0,,,undefined,,"Engleză, Franceză, Română",United Kingdom,,,"Neuroscience, technology, design, and social justice. Not necessarily in this order, but",,,0
75,Mid,0.7,0.4,Education,other,experts,2.0,Education,Education,22831,,"Greek, English, French","Cambridge, Middlesex County, Massachusetts, United States",,,My current research focuses on the molecular mechanisms of memory and learning.,,Research Scientist,0
90,Senior,0.8,0.5,Professional Services,regional_hub,experts,1.0,Professional Services,Professional Services,1,,,"Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile",,,I am a Computer Science Engineer (Ingº en Informática) with deep expertise in Systems,"cascading style sheets (css), social media marketing, wordpress, business intelligence, online marketing, php, social media consulting, internet/intranet technologies, javascript libraries, teaching english as a foreign language, business english, microsoft word, marketing, marketing strategy, negotiation, online advertising, digital marketing, project management, photoshop, jquery, powerpoint, management, social media, sql, javascript, strategic planning, microsoft excel, business strategy, spanish, microsoft office, html, html scripting, english literature, web development, team leadership, seo, blogging, mysql, english, css, web applications, entrepreneurship, it management, english language skills, language teaching, languages, teaching english as a second language, marketing communications, it strategy, web production and planning",Strategic Intelligence & Cyber Defense (Private-Gov Classified Work),1
80,Mid,0.75,0.2,Arts and Entertainment,international_hub,experts,2.0,,,undefined,,,"Altrincham, England, United Kingdom",,,"I am a multi-disciplinary artist, AI artist, and creative director with over 20 years of experience in multimedia design for concerts, live shows, and large-scale events. My work bridges art, technology, and human emotion, crafting immersive and impactful experiences across film, installation, and AI-driven digital art. My artistic journey began with a Bachelor of Fine Arts in Film from The Hong Kong Academy for Performing Arts, where I developed a strong foundation in visual storytelling and experimental media. My first film, “The Tourist”, was screened at the Hong Kong International Film Festival, marking my early exploration into avant-garde cinema. Following this, I began my career teaching avant-garde art at the City University of Hong Kong, inspiring the next generation of creative thinkers. As the Founder &amp; Executive Creative Director of dontbelieveinstyle (DBIS), I have led pioneering projects in multimedia design, immersive installations, and experiential storytelling for concerts, exhibitions, and brand activations. I have collaborated with some of the most iconic figures in the arts, entertainment, and luxury industries, pushing the boundaries of creative production. Key recent achievements include: 🎨 ""RuShi"" – An Algorithmic Installation (2018-2019): - Best of Show Award at SIGGRAPH 2019 in Los Angeles - Exhibited at Microwave International New Media Arts Festival 2018 and ISEA2019 in Gwangju 🤖 AI Art &amp; International Recognition: - Selected for the CTRL Artist Development Program in Manchester, curated by The Lowry &amp; Submerge Festival - AI artworks showcased in London, New York, and San Francisco - ""Lemon Yellow"" shortlisted for the Visual Art Open 2024 UK &amp; International Emerging Artist Awards - Active member of FRMWRK.AI, an elite AI art collective featuring 100 extraordinary AI artists worldwide I continue to explore the intersections of AI, new media, and experiential design, crafting cutting-edge digital narratives that challenge and inspire. 📩 Let’s connect and explore new creative possibilities!",,,1
40,Entry,0.55,0.8,Financial Services,other,leaders,0.0,Financial Services,Financial Services,75,,"Français, Anglais, Espagnol","New York, New York, United States",,,,,Venture Capital,1
65,Entry,0.5,0.35,IT Services,other,workers,1.0,,IT Services and IT Consulting,51-200,Privately Held,,"Elmhurst, DuPage County, Illinois, United States","Miami, US",2010.0,,"software development life cycle (sdlc), software documentation, agile methodologies, software development, microsoft sql server, mysql, oracle, c#, linux, software project management, clearcase, databases, web services, xml, architecture, saas, team building, c++, testing, software engineering, sql, sdlc, c, integration, java, perl",,0
75,Entry,0.65,0.15,Media and Communications,other,others,2.0,,Executive Offices,11-50,Government Agency,,"Braga, Braga, Portugal","Brasília, BR",2020.0,"I am a pollinator 🌍🐝✨ , an aspiring media artist 🔉🎧 and a caregiver 💛⚡️ From the creative city of Braga, I aim to positively impact the world, collaborating remotely, pollinating ideas, mitigating the hyperconnected urgency, building bridges, and connecting ingenious minds in the confluence of Arts, Science, Technology and more-than-human worlds.",,,1
